Field=#~Integer~#~50|Field=Comment~String~Comment~105|Field=Description~String~Description~105|Field=Designator~String~Designator~105|Field=Footprint~String~Footprint~134|Field=FootprintDescription~String~FootprintDescription~213|Field=LibRef~String~LibRef~66|Field=Quantity~Integer~Quantity~20|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~breeze_electronics_design.PrjPcb|ReportField=ProjectFullPath~C:\Users\abcd\Documents\GitHub\breeze_electronics_design\altium\breeze_electronics_design.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [breeze_pcb.PcbDoc]|ReportField=TotalQuantity~124|ReportField=ReportTime~23:43:09|ReportField=ReportDate~2017/12/2|ReportField=ReportDateTime~2017/12/2 23:43:09|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~breeze_pcb.PcbDoc|ReportField=DataSourceFullPath~C:\Users\abcd\Documents\GitHub\breeze_electronics_design\altium\breeze_pcb.PcbDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|AN9520|2.4GHz Wireless Communication Antenna|A1|AN9520|AN9520|AN9520|1
2|BAT|Battery|B1|HDR-1X2|HDR-1X2|BAT|1
3|CAP-0603|Capacitor|C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41|SMD-0603|SMD-0603|CAP-0603|41
4|BAT54KFILM|Schottky Diode|D1, D2, D3, D4|SOD-523|SOD-523|BAT54KFILM|4
5|LED-0603|LED|D5, D6, D7, D8, D9, D10, D11, D12|SMD-0603|SMD-0603|LED-0603|8
6|IND-0402|Inductor|L1, L2, L3|SMD-0402|SMD-0402|IND-0402|3
7|Comment||LOGO1|LOGO_ACC_GYR|Orientation of Axes of MPU6050||1
8|Comment||LOGO2|LOGO_MAG|Orientation of Axes of HMC5883L||1
9|Comment||LOGO3|LOGO_TEAM_OVERLAY|Logo for Team MicroDynamics on overlay layer||1
10|Motor1|Motor Header|P1|HDRM-1X2|HDRM-1X2|Motor_A|1
11|Motor2|Motor Header|P2|HDRM-1X2|HDRM-1X2|Motor_B|1
12|Motor3|Motor Header|P3|HDRM-1X2|HDRM-1X2|Motor_B|1
13|Motor4|Motor Header|P4|HDRM-1X2|HDRM-1X2|Motor_A|1
